Provider URN,Provider status,Provider type,Sector,Provider name,Provider address 1,Provider address 2,Provider town,Provider postcode,Local Authority,government_office_region_name,Event number,Event date,Event type group,Overall effectiveness,Outcomes in education and related learning activities,Outcomes for children and young people,Quality of care,Safeguarding children and young people,Leadership and management
SC059221,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Reading,South East,294154,07/05/2014,Full inspection,2,0,3,2,2,2
SC059998,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Derby,East Midlands,296110,05/06/2014,Full inspection,2,0,2,1,2,2
SC060282,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Essex,East of England,295000,22/05/2014,Full inspection,2,0,1,1,2,2
SC060545,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Newham,London,294305,13/05/2014,Full inspection,3,0,3,3,3,3
SC395944,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Isle of Wight,South East,294795,14/05/2014,Full inspection,2,0,2,1,2,2
SC060936,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Suffolk,East of England,295016,21/05/2014,Full inspection,4,0,2,3,4,4
SC382138,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Hertfordshire,East of England,296683,13/06/2014,Full inspection,3,0,3,2,3,3
SC400301,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Hertfordshire,East of England,296488,06/06/2014,Full inspection,4,0,3,3,4,4
SC061439,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Darlington,North East,295775,04/06/2014,Full inspection,3,0,3,3,3,3
SC062593,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Birmingham,West Midlands,294936,20/05/2014,Full inspection,4,0,4,4,4,4
SC062782,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Blackpool,North West,296495,11/06/2014,Interim inspection,4,0,0,0,0,0
SC063284,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,St Helens,North West,296766,16/06/2014,Full inspection,2,0,2,2,2,2
SC063498,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,St Helens,North West,294279,14/05/2014,Interim inspection,5,0,0,0,0,0
SC063890,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kirklees,Yorkshire and The Humber,295435,22/05/2014,Full inspection,3,0,3,3,2,3
SC063959,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Lancashire,North West,295992,03/06/2014,Full inspection,3,0,2,2,3,3
SC063997,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Leicestershire,East Midlands,296150,04/06/2014,Full inspection,4,0,4,4,4,4
SC064050,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kirklees,Yorkshire and The Humber,296986,12/06/2014,Full inspection,2,0,2,2,2,2
SC064369,Resigned,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Lancashire,North West,294024,07/05/2014,Full inspection,4,0,3,4,4,4
SC064428,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Wigan,North West,296523,09/06/2014,Full inspection,4,0,4,4,3,3
SC064549,Active,Children's Home,Voluntary,Redacted,Redacted,Redacted,Redacted,Redacted,Luton,East of England,293856,08/05/2014,Interim inspection,2,0,0,0,0,0
SC065313,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Blackpool,North West,297114,18/06/2014,Full inspection,3,0,3,3,2,3
SC036804,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Gateshead,North East,297172,10/06/2014,Full inspection,1,0,1,1,1,1
SC065515,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Northumberland,North East,295160,06/05/2014,Full inspection,4,0,4,4,4,4
SC065684,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,294376,13/05/2014,Full inspection,3,0,3,3,3,3
